timestamp,XOM_close,CVX_close,zscore
2022-05-27,97.59,178.28,1.7296558879160813
2022-05-31,96.0,174.66,1.2746949563888876
2022-06-01,97.84,176.32,1.577882022198125
2022-06-02,97.67,176.0,1.392279637158696
2022-06-03,99.09,177.6,1.5268926361543564
2022-06-06,98.84,176.83,1.3427215834628299
2022-06-07,103.37,180.2,2.0839365867083717
2022-06-08,104.59,181.13,2.0526337933932064
2022-06-09,102.33,177.52,1.5090989006588458
2022-06-10,100.46,175.4,1.0739414155197915
2022-06-13,95.85,167.33,0.19866966568262806
2022-06-14,96.1,167.55,0.18002792261080397
2022-06-15,94.89,164.26,-0.06603346215630661
2022-06-16,91.39,155.48,-0.7402350852971712
2022-06-17,86.12,148.38,-1.9865753600911011
2022-06-21,91.48,154.59,-0.6624013748720381
2022-06-22,87.86,147.87,-1.402087488154268
2022-06-23,85.21,142.43,-1.7522387204784358
2022-06-24,86.9,144.77,-1.2561846163475963
2022-06-27,89.03,147.57,-0.7390886714426028
2022-06-28,91.5,149.94,-0.13111802981248935
2022-06-29,88.12,146.98,-0.9170838671246059
2022-06-30,85.64,144.78,-1.3590952913046455
2022-07-01,87.55,146.51,-0.8468621227727764
2022-07-05,84.81,142.66,-1.244110058408853
2022-07-06,83.28,140.78,-1.3785198169555946
2022-07-07,85.94,143.52,-0.7676130527902352
2022-07-08,86.08,142.77,-0.6313666578679024
2022-07-11,85.64,141.51,-0.6379007369910347
2022-07-12,84.5,138.92,-0.8385577896711501
2022-07-13,84.84,137.99,-0.5280624889330776
2022-07-14,83.14,135.94,-1.088902638735177
2022-07-15,84.54,137.65,-0.4548928557502893
2022-07-18,86.1,139.58,0.34292064034574954
2022-07-19,88.27,144.61,0.9898782619102585
2022-07-20,89.24,146.52,1.4337442898045647
2022-07-21,87.75,145.4,0.5759014300409919
2022-07-22,87.08,144.19,0.24696416292939435
2022-07-25,89.98,148.48,1.4412040477722294
2022-07-26,89.63,147.32,1.3151837728461326
2022-07-27,91.57,149.26,2.228685145129078
